"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-02-28,61639,"10025","NY","New York-Newark-Jersey City","New York County","New York",0,1009600,-0.0173252871325676,-0.0526414563197898,-0.110484581497797,0.0211473865026552,0.0229686614540006,"2018-01","2018-Q1",1138100,-0.112907477374572,"2015-08"
2019-02-28,84654,"60657","IL","Chicago-Naperville-Elgin","Cook County","Chicago",1,353000,0.000850581230507513,0.000566893424036281,0.00398179749715586,0.0286528775220734,0.0119698447071825,"2018-12","2018-Q4",353200,-0.000566251415628539,"2018-12"
2019-02-28,61637,"10023","NY","New York-Newark-Jersey City","New York County","New York",2,1361000,-0.00256504213997801,-0.0147676270450268,-0.104369570939721,-0.00361943886748062,0.0171212142856427,"2016-12","2016-Q4",1622600,-0.161222728953531,"2013-10"
2019-02-28,91982,"77494","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",3,334300,-0.00238734706057893,-0.00535554894376674,0.0238897396630934,0.0364561023275278,0.0313137343007233,"2018-09","2018-Q3",338500,-0.0124076809453471,"2018-05"
2019-02-28,84616,"60614","IL","Chicago-Naperville-Elgin","Cook County","Chicago",4,432500,0.000694123091161499,0.00185313875376419,0.00792356094150548,0.0344627476415349,0.0190563020147425,"2019-02","2019-Q1",432500,0,"2019-02"
2019-02-28,93144,"79936","TX","El Paso","El Paso County","El Paso",5,128500,0.00234009360374415,0.0134069400630915,0.0663900414937759,0.0287874365622647,0.0058658200100532,"2007-10","2007-Q4",132400,-0.0294561933534743,"2007-06"
2019-02-28,91940,"77449","TX","Houston-The Woodlands-Sugar Land","Harris County","Katy",6,183000,0.00549450549450549,0.0149750415973378,0.0487106017191977,0.0722720098544203,0.0371236885171555,"2019-02","2019-Q1",183000,0,"2019-02"
2019-02-28,91733,"77084","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",7,177000,0.00912200684150513,0.030267753201397,0.0912453760789149,0.0725594226050683,0.0364786404673965,"2019-02","2019-Q1",177000,0,"2019-02"
2019-02-28,61616,"10002","NY","New York-Newark-Jersey City","New York County","New York",8,943500,-0.00746896696823059,-0.0285214168039539,-0.0397923875432526,0.0525342284156163,0.0320397229409242,"2017-10","2017-Q4",1009900,-0.0657490840677295,"2017-04"
2019-02-28,61807,"10467","NY","New York-Newark-Jersey City","Bronx County","New York",9,426700,0.00613062956849799,0.0111374407582938,0.0786147623862487,0.0634611397194771,0.0280433141175727,"2019-02","2019-Q1",426700,0,"2019-02"
2019-02-28,84640,"60640","IL","Chicago-Naperville-Elgin","Cook County","Chicago",10,237800,0.00126315789473684,0.00379907133811735,-0.0153209109730849,0.0364756271063382,0,"2007-01","2007-Q1",269900,-0.118932938125232,"2004-09"
2019-02-28,62037,"11226","NY","New York-Newark-Jersey City","Kings County","New York",11,829900,-0.000602119460500963,-0.00192423331328924,0.116507466702543,0.125066232156388,0.0615941050801025,"2018-12","2018-Q4",831900,-0.00240413511239332,"2018-11"
2019-02-28,97564,"94109","CA","San Francisco-Oakland-Hayward","San Francisco County","San Francisco",12,1253700,-0.00302186878727634,-0.00893280632411067,0.00593757522265907,0.0553190033252184,0.0519380578901671,"2018-11","2018-Q4",1265000,-0.00893280632411067,"2018-10"
2019-02-28,61630,"10016","NY","New York-Newark-Jersey City","New York County","New York",13,988100,-0.00573556047494466,-0.0292759603104431,-0.0388132295719844,0.0207888328879582,0.0195839377222813,"2017-02","2017-Q1",1092400,-0.0954778469425119,"2015-11"
2019-02-28,74101,"37013","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",14,222900,0.0054127198917456,0.0201372997711671,0.113386613386613,0.114725818352824,0.0491150040922679,"2019-02","2019-Q1",222900,0,"2019-02"
2019-02-28,92593,"78660","TX","Austin-Round Rock","Travis County","Pflugerville",15,250400,0.00200080032012805,0.00805152979066022,0.0351384869780901,0.0724521469224857,0.0380897543691203,"2019-02","2019-Q1",250400,0,"2019-02"
2019-02-28,71831,"32162","FL","The Villages","Sumter County","The Villages",16,267300,0.00337837837837838,0.0109682299546142,0.0769540692989525,0.0333153777197892,0.0243710367145542,"2019-02","2019-Q1",267300,0,"2019-02"
2019-02-28,62087,"11375","NY","New York-Newark-Jersey City","Queens County","New York",17,997000,0.00130561414080546,0.0120799918789971,0.0304909560723514,0.0716474640836327,0.0477572459663005,"2019-02","2019-Q1",997000,0,"2019-02"
2019-02-28,62045,"11235","NY","New York-Newark-Jersey City","Kings County","New York",18,714100,-0.000699692135460397,-0.00279290601871247,-0.0099819769859975,0.053761826508578,0.037599110060125,"2018-06","2018-Q2",726200,-0.0166620765629303,"2018-01"
2019-02-28,84646,"60647","IL","Chicago-Naperville-Elgin","Cook County","Chicago",19,395300,0.0032994923857868,0.00406400812801626,0.0275539381336106,0.0670955646857527,0.0289000551801464,"2019-02","2019-Q1",395300,0,"2019-02"
2019-02-28,96107,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Hawthorne",20,658800,0.00197718631178707,0.012137041020126,0.0878467635402906,0.0937940885142206,0.05388003106614,"2019-02","2019-Q1",658800,0,"2019-02"
2019-02-28,74242,"37211","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",21,264900,0.00378931413414172,0.0130019120458891,0.0755176613885506,0.127776571762064,0.0624080837423728,"2019-02","2019-Q1",264900,0,"2019-02"
2019-02-28,61643,"10029","NY","New York-Newark-Jersey City","New York County","New York",22,776700,-0.00269645608628659,-0.0191943427200404,-0.0150900329698199,0.0420618652287896,0.0367295666406791,"2018-05","2018-Q2",796000,-0.0242462311557789,"2017-08"
2019-02-28,61623,"10009","NY","New York-Newark-Jersey City","New York County","New York",23,1092400,-0.0249040435597608,-0.0463553033609777,-0.0434325744308231,0.0266475421195167,0.0266823573238104,"2017-02","2017-Q1",1221200,-0.105470029479201,"2016-09"
2019-02-28,84620,"60618","IL","Chicago-Naperville-Elgin","Cook County","Chicago",24,393500,0.000762970498474059,-0.000254065040650407,0.0028032619775739,0.0533124275505137,0.0241375840726348,"2018-04","2018-Q2",395200,-0.00430161943319838,"2018-04"
2019-02-28,61625,"10011","NY","New York-Newark-Jersey City","New York County","New York",25,1633200,-0.00572263484719347,-0.0168552853359018,-0.0621877691645134,0.0108253620906393,0.0288003037817421,"2016-08","2016-Q3",1819600,-0.102440096724555,"2014-06"
2019-02-28,92036,"77573","TX","Houston-The Woodlands-Sugar Land","Galveston County","League City",26,269900,0.00297287253808993,0.0085949177877429,0.0547088706525987,0.0671701146700563,0.0365473674945198,"2019-02","2019-Q1",269900,0,"2019-02"
2019-02-28,92045,"77584","TX","Houston-The Woodlands-Sugar Land","Brazoria County","Pearland",27,268400,0.00298953662182362,0.013595166163142,0.0571090980701063,0.0646741305050034,0.033154541469776,"2019-02","2019-Q1",268400,0,"2019-02"
2019-02-28,61703,"10128","NY","New York-Newark-Jersey City","New York County","New York",28,1193300,-0.00756819693945442,-0.0207615296241589,-0.011268539232745,0.0517792822467282,0.0317832338940955,"2018-08","2018-Q3",1251400,-0.046428000639284,"2017-12"
